Name|Rhydon
Number|112
ExperienceType|3
BaseExperience|170
Type1|Ground
Type2|Rock
CatchRate|60
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|111
IsGenderLess|0
CanBreed|1
Devolution|111
IsMale|50
Ability1|31
Ability2|69
HiddenAbility|120
EggMoves|68,242,306,174,407,424,470,423,231,222,368,563,179,431,130,422,157,14,228,37
Machines|223,29,174,205,46,92,192,249,237,241,173,59,63,196,182,203,218,231,87,89,216,91,189,104,207,214,201,126,9,197,156,213,168,7,210,5,14,25,32,34,36,38,61,55,58,6,68,99,85,90,102,117,130,157,164,264,280,351,53,317,263,290,411,374,406,421,371,416,397,444,419,446,445,363,398,479,496,510,523,525,612,590,15,57,70,250,431,560
BaseHP|105
BaseAttack|130
BaseDefense|120
BaseSpAttack|45
BaseSpDefense|45
BaseSpeed|40
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its rugged hide protects it from even the heat of lava. However, the hide also makes it insensitive.\Drill Pokémon\120\1.9\0,148,0
Scale|1.36
Move|1,224
Move|1,32
Move|1,30
Move|1,39
Move|1,23
Move|1,31
Move|9,23
Move|12,31
Move|19,184
Move|23,350
Move|30,523
Move|34,498
Move|41,36
Move|42,359
Move|47,529
Move|56,444
Move|62,89
Move|71,32
Move|77,224
TradeValue|70
EvolutionCondition|464,holditem,141,trade
