Name|Sandshrew
Number|27
ExperienceType|1
BaseExperience|60
Type1|Ice
Type2|Steel
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|27
IsGenderLess|0
IsMale|50
Ability1|81
Ability2|Nothing
HiddenAbility|202
EggMoves|133,498,68,306,174,203,175,468,556,333,232,400
Machines|223,29,174,205,92,249,237,173,59,196,182,203,218,231,89,216,91,104,8,207,214,201,129,111,197,156,168,210,14,34,36,58,66,68,69,99,102,117,130,157,164,264,258,219,280,317,332,263,290,374,421,419,360,446,404,363,398,468,496,523,524,590,141,694,270,529,15,70,431
BaseHP|50
BaseAttack|75
BaseDefense|90
BaseSpAttack|10
BaseSpDefense|35
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives on snowy mountains. Its steel shell is very hard—so much so, it can't roll its body up into a ball.\Mouse Pokémon\40.0\0.7\0,148,0
Scale|0.84
Move|1,10
Move|1,111
Move|3,117
Move|5,181
Move|7,301
Move|9,229
Move|11,210
Move|14,232
Move|17,129
Move|20,154
Move|23,334
Move|26,163
Move|30,442
Move|34,360
Move|38,14
Move|42,258
Move|46,59
EvolutionCondition|28_alola,item,593,item
Item|5,176
TradeValue|15
