Name|Dragalge
Number|691
ExperienceType|1
BaseExperience|173
Type1|Poison
Type2|Dragon
CatchRate|55
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Dragon
BaseEggSteps|5525
EggPokemon|690
IsGenderLess|0
CanBreed|1
Devolution|690
IsMale|50
Ability1|38
Ability2|143
HiddenAbility|91
EggMoves|151,390,114,583,599
Machines|63,87,411,525,416,92,237,182,240,258,474,85,218,216,247,104,482,188,156,263,213,496,503,207,214,164,290,590,57,127,291,401,340,434,406,441,196,231,200,351,173,352
TutorMoves|401,340,434,406,441,196,231,200,351,173,352
BaseHP|65
BaseAttack|75
BaseDefense|90
BaseSpAttack|97
BaseSpDefense|123
BaseSpeed|44
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|Tales are told of ships that wander into seas where Dragalge live, never to return.\Mock Kelp Pokémon\81.5\1.8\0,148,0
Scale|1.1
Move|1,525
Move|1,239
Move|1,33
Move|1,108
Move|1,55
Move|5,185
Move|9,39
Move|12,145
Move|15,51
Move|19,293
Move|23,342
Move|25,352
Move|28,104
Move|32,92
Move|35,401
Move|38,188
Move|42,56
Move|53,406
Move|59,525
Move|67,239
TradeValue|65
